PARENT_EMPLOYER,EMPLOYER_NAME,positions
Ajace Inc,Ajace Inc,8
Ajace Inc,AJACE INC,2
Amazon,Amazon.com Services LLC,2940
Amazon,"Amazon Web Services, Inc.",941
Amazon,"Amazon Data Services, Inc",655
Amazon,"Amazon Development Center U.S., Inc.",373
Amazon,"Amazon Data Services, Inc.",50
Amazon,Amazon Advertising LLC,29
Amazon,Amazon Retail LLC,10
Amazon,"AMAZON DATA SERVICES, INC.",7
Amazon,AMAZON.COM SERVICES LLC,6
Amazon,"AMAZON WEB SERVICES, INC.",5
Amazon,"AMAZON DEVELOPMENT CENTER U.S., INC. ",2
Amazon,"Amazon Data Services, Inc.`",1
Amiti Consulting Inc,Amiti Consulting Inc,5
Amiti Consulting Inc,AMITI CONSULTING INC,2
Biswas Information Technology Solutions Inc.,BISWAS INFORMATION TECHNOLOGY SOLUTIONS INC.,5
Biswas Information Technology Solutions Inc.,Biswas Information Technology Solutions Inc.,1
China Telecom (Americas) Corporation,China Telecom (Americas) Corporation,5
China Telecom (Americas) Corporation,CHINA TELECOM (AMERICAS) CORPORATION,2
Dell Products L.P.,DELL PRODUCTS L.P.,1
Dell Products L.P.,Dell Products L.P.,1
Dpr Solutions Inc,DPR Solutions Inc,3
Dpr Solutions Inc,DPR SOLUTIONS INC,1
Nest Technologies Corporation,NeST Technologies Corporation,2
Nest Technologies Corporation,Nest Technologies Corporation,2
Nuvitek Llc,NUVITEK LLC,1
Nuvitek Llc,Nuvitek LLC,1
Pistos It Services Llc,Pistos IT Services LLC,1
Pistos It Services Llc,Pistos It Services LLC,1
Prime S4 Technologies Llc,PRIME S4 TECHNOLOGIES LLC,6
Prime S4 Technologies Llc,Prime S4 Technologies LLC,3
Ramsai Software Solutions Inc,Ramsai Software Solutions INC,7
Ramsai Software Solutions Inc,RAMSAI SOFTWARE SOLUTIONS INC,1
"Remote Tiger, Inc.","REMOTE TIGER, INC.",1
"Remote Tiger, Inc.","Remote Tiger, Inc.",1
Saransh Inc,SARANSH INC,2
Saransh Inc,Saransh Inc,1
"Savi Technologies, Inc","SAVI TECHNOLOGIES, INC",1
"Savi Technologies, Inc","Savi Technologies, Inc",1
Sunraise Technologies Inc,SunRaise Technologies Inc,1
Sunraise Technologies Inc,Sunraise Technologies INC,1
Tata Consultancy Services Limited,TATA CONSULTANCY SERVICES LIMITED,9
Tata Consultancy Services Limited,Tata Consultancy Services Limited,4
"Techpro Solutions, Inc.","TECHPRO SOLUTIONS, INC.",2
"Techpro Solutions, Inc.","Techpro Solutions, Inc.",1
U.S. Bank National Association,U.S. Bank National Association,3
U.S. Bank National Association,U.S. BANK NATIONAL ASSOCIATION,1
"Vyzer Solutions, Inc","VYZER SOLUTIONS, INC",1
"Vyzer Solutions, Inc","Vyzer Solutions, Inc",1
"Wells Fargo Bank, N.A.","Wells Fargo Bank, N.A.",3
"Wells Fargo Bank, N.A.","WELLS FARGO BANK, N.A.",2
