EMPLOYER_NAME,certified_positions,applications,median_annual_wage
Amazon.com Services LLC,2940,453,147600.0
CGI Technologies and Solutions Inc.,1613,45,118310.0
"Amazon Web Services, Inc.",941,239,146944.0
"Amazon Data Services, Inc",655,187,139300.0
Federal Home Loan Mortgage Corporation,487,63,129314.0
"Amazon Development Center U.S., Inc.",373,157,161800.0
"Capital One Services, LLC",289,289,131155.0
"Capital One, National Association",282,282,115939.0
"Hexaware Technologies, Inc.",161,161,112466.0
"Cisco Systems, Inc.",149,13,146000.0
Ernst & Young U.S. LLP,146,146,155926.0
Deloitte Consulting LLP,97,45,165000.0
Navy Federal Credit Union,89,89,150176.0
COGNIZANT TECHNOLOGY SOLUTIONS US CORP,60,60,128461.0
"Micron Technology, Inc.",59,59,115031.0
CGI Federal Inc.,55,6,126090.0
Howard Hughes Medical Institute,51,23,83513.0
KFORCE INC. ,50,5,126090.0
"Amazon Data Services, Inc.",50,50,144950.0
Deloitte & Touche LLP,45,21,99403.0
"COMPUNNEL SOFTWARE GROUP, INC",42,42,126550.0
"Comcast Cable Communications, LLC",41,41,175427.0
Deloitte Tax LLP,41,19,92800.0
Meritore Technologies LLC,40,4,113756.0
"WAL-MART ASSOCIATES, INC.",39,39,160349.0
Government Employee Insurance Company (GEICO),37,37,180000.0
"Asurion, LLC",30,30,180432.0
Amazon Advertising LLC,29,11,161400.0
"Granules Pharmaceuticals, Inc.",29,29,63690.0
George Mason University,25,25,99000.0
INFOSYS LIMITED,25,9,118310.0
Microsoft Corporation,23,23,170000.0
AWS Security Assurances Services LLC,21,3,153600.0
"Antra, Inc.",20,20,101500.0
Idexcel Inc,20,20,122150.0
"S.W.I.F.T., Inc.",19,19,158839.0
"STE iDirect, Inc.",18,18,173839.0
Interon IT Solutions LLC,18,18,126090.0
INOVA HEALTH CARE SERVICES,17,17,166786.0
PROMATRIX CORP,17,17,112500.0
HCL AMERICA INC,17,17,128461.0
REI Systems Inc.,17,17,163975.0
ITSTAC LLC,16,16,91582.0
Visa Technology & Operations LLC,16,16,151334.0
Google LLC,16,16,179350.0
"ICF Incorporated, LLC",16,16,126648.0
"M.C. Dean, Inc.",14,14,112500.0
Strategy Incorporated,14,14,125804.0
O3 TECHNOLOGY SOLUTIONS LLC,13,13,112466.0
Appian Corporation,13,11,156256.0
"NODAL EXCHANGE, LLC",13,13,157000.0
Moxie IT Solutions Inc,13,13,101500.0
"Salesforce, Inc.",13,13,221731.0
CrossCountry Consulting LLC,12,12,119000.0
"22nd Century Technologies, Inc.",12,12,78500.0
"T-Mobile USA, Inc.",12,12,154749.0
Karsun Solutions LLC,12,12,105750.0
Granules Pharmaceuticals Inc.,12,12,112500.0
Accenture LLP,11,11,156900.0
Jacobs Engineering Group Inc.,11,11,93150.0
Ignyte Group Inc.,11,3,109000.0
CVS Shared Services Resources LLC,11,11,137221.0
"RiskSpan, Inc.",11,11,116459.0
"Dulles Engineering, Inc",11,11,90938.0
"i-Link Solutions, Inc.",11,11,126880.0
Federal National Mortgage Association,11,11,150758.0
CoStar Realty Information Inc.,10,10,164646.0
Amazon Retail LLC,10,1,109200.0
Populus Group LLC,10,10,129480.0
"Financial Industry Regulatory Authority, Inc.",10,10,163092.0
CaseGuard Inc.,10,10,104541.0
"DPR Construction, A General Partnership",10,10,100016.0
NVIDIA Corporation,10,10,175427.0
"SuccessFactors, Inc.",10,10,143080.0
"Nivid Infotech, Inc.",10,10,100714.0
VISTA APPLIED SOLUTIONS GROUP INC,10,10,126090.0
"Northstar Group, Inc",9,9,104083.0
Apptium Technologies LLC,9,9,115000.0
"Ofinno, LLC",9,9,155000.0
IBM Corporation,9,9,169978.0
TATA CONSULTANCY SERVICES LIMITED,9,9,91125.0
ACEINTEGRATOR INC,9,9,101421.0
"ICF Resources, LLC",9,9,102457.0
"Uniplus Consultants, Inc.",9,9,106454.0
"Oracle America, Inc.",9,9,150758.0
eSolutionsFirst LLC,8,8,128253.0
"VeriSign, Inc.",8,8,172560.0
Guidehouse Digital LLC,8,8,136401.0
Alpha 20 Group LLC,8,8,126090.0
HTMS Inc,8,8,91582.0
USM Business Sytems Inc,8,8,122200.0
"Cvent, Inc.",8,8,137739.0
"Aktra, Inc.",8,8,95750.0
"Workday, Inc.",8,8,156200.0
"V-Soft Consulting Group, INC",8,8,127000.0
IStream Solutions Inc,8,8,112466.0
Ajace Inc,8,8,126090.0
WIPRO LIMITED,8,8,107456.0
Nectar Info Tek LLC,8,8,105250.0
Yahoo Holdings Inc.,8,8,175427.0
Zillion Technologies LLC.,8,8,126090.0
SQA Concepts Inc. ,7,7,126250.0
"Berkley Technology Services, LLC",7,7,126464.0
"AMAZON DATA SERVICES, INC.",7,7,147400.0
"Ascendion, Inc. (Formerly known as Collabera, Inc.)",7,7,144500.0
TransUnion LLC,7,7,150758.0
"AOL Media, LLC",7,7,179000.0
Raas Infotek LLC,7,7,126100.0
Mastercard International Incorporated,7,7,130811.0
Blueridge Dynamic Solutions,7,7,115939.0
"Folio Financial, Inc.",7,7,117100.0
Alexandria City Public Schools,7,7,88587.0
TELUS International Digital Solutions LLC,7,7,150758.0
Softrams LLC,7,7,173721.0
Virginia Polytechnic Institute & State University,7,7,65000.0
Ramsai Software Solutions INC,7,7,126090.0
National Railroad Passenger Corporation,7,7,137700.0
ARTIFINT TECHNOLOGIES LLC,7,7,101421.0
DIGITAL MANAGEMENT LLC,7,7,136822.0
Turner Construction Company ,7,7,108451.0
Aetna Resources LLC,6,6,159261.0
WYNBIT INC,6,6,126090.0
Venture Global LNG Inc.,6,6,160000.0
Unisys Corporation,6,6,136600.0
AMAZON.COM SERVICES LLC,6,6,181050.0
"Rummel, Klepper & Kahl, LLP",6,6,103511.0
"OVS TECHNOLOGIES, INC.",6,6,126090.0
"Technogen, Inc.",6,6,126090.0
"SRIVEN TECHNOLOGIES, LLC.",6,6,126100.0
"Transaction Network Services, Inc. ",6,6,152500.0
ENDEAVOUR TECHNOLOGIES INC,6,6,101500.0
Trenmor LLC,6,6,114296.0
"EKIN Solutions, Inc.",6,6,126150.0
PRIME S4 TECHNOLOGIES LLC,6,6,190000.0
Science Applications International Corporation,6,6,181814.0
Incept Data Solutions Inc,6,6,97344.0
DB USA Core Corporation,5,5,129000.0
Maxary LLC,5,5,91582.0
Manassas Park City Schools,5,5,64683.0
VMware LLC,5,1,175427.0
Softworld Technologies LLC,5,5,101500.0
VASS Inc.,5,5,104083.0
BISWAS INFORMATION TECHNOLOGY SOLUTIONS INC.,5,5,92000.0
LTIMindtree Limited,5,5,118311.0
Amiti Consulting Inc,5,5,115939.0
MSR TECHNOLOGY GROUP LLC,5,5,126090.0
Global Alliant Inc,5,5,126090.0
"NovaGigs, Inc.",5,5,105000.0
"The PNC Financial Services Group, Inc.",5,5,189488.0
"Palo Alto Networks, Inc.",5,5,108020.0
Pentagon Federal Credit Union,5,5,183265.0
"SYSTEM SOFT TECHNOLOGIES, LLC",5,5,92000.0
Xpand Corporation,5,5,146154.0
China Telecom (Americas) Corporation,5,5,60000.0
Nantez Inc,5,5,107000.0
Hewlett Packard Enterprise Company,5,5,163030.0
SKILLTUNE TECHNOLOGIES INC,5,5,91585.0
"HDR Engineering, Inc.",5,5,95410.0
"CARFAX, Inc.",5,5,127750.0
Abeyon LLC,5,5,112466.0
"i360 Holdings, LLC",5,5,130000.0
Morgan Stanley Services Group Inc.,5,5,156000.0
"Meta Platforms, Inc",5,5,188000.0
"AMAZON WEB SERVICES, INC.",5,5,167019.0
Airline Tariff Publishing Company (ATPCO),5,5,143600.0
"Blue Lotus Systems, Inc.",5,5,102000.0
"SAP America, Inc.",5,5,182791.0
"Cloud BC Labs, Inc",5,5,107000.0
Govin Technologies LLC,5,5,112466.0
"AGR, LLC",5,5,108347.0
SEER SOLUTIONS INC,5,5,126090.0
"Tech Tammina, LLC",5,5,126090.0
