SOC_TITLE,certified_positions,median_annual_wage,median_premium_pct
Software Developers,4824,132916.6,1.7
Data Scientists,950,115939.0,0.0
Computer Programmers,888,91600.0,0.0
Computer and Information Systems Managers,790,198972.0,2.7
Business Intelligence Analysts,552,115939.0,0.1
Information Technology Project Managers,509,150000.0,2.3
Software Quality Assurance Analysts and Testers,454,108160.0,0.0
Computer and Information Research Scientists,282,165350.0,14.1
Industrial Engineers,273,133900.0,25.1
Civil Engineers,252,115000.0,20.2
Network and Computer Systems Administrators,251,106900.0,0.1
Computer Systems Analysts,245,107000.0,0.1
Financial and Investment Analysts,198,138600.0,8.7
Accountants and Auditors,181,97450.0,10.3
Database Administrators,168,112800.0,3.5
Project Management Specialists,125,119400.0,2.0
Web and Digital Interface Designers,118,91125.0,10.6
Statisticians,115,122535.9,6.6
Computer Systems Engineers/Architects,105,140836.8,0.0
Information Security Analysts,103,147275.0,7.1
Information Security Engineers,89,162300.0,24.3
Computer Network Architects,83,163030.0,6.0
Management Analysts,71,130811.0,4.8
Supply Chain Managers,67,144160.0,3.9
Database Architects,62,161449.0,0.7
Market Research Analysts and Marketing Specialists,57,80000.0,4.9
Computer Network Support Specialists,56,105000.0,50.8
Financial Quantitative Analysts,55,116000.0,17.8
Marketing Managers,51,153650.0,6.9
Operations Research Analysts,51,123000.0,16.3
Sales Engineers,49,149698.0,10.3
Economists,48,150300.0,15.9
Electrical Engineers,41,132754.3,9.4
Financial Risk Specialists,38,117279.4,6.4
Construction Managers,32,137738.0,0.0
Mechanical Engineers,31,110500.0,9.0
Biochemists and Biophysicists,30,83720.5,0.0
Computer User Support Specialists,29,66400.0,0.7
"Biological Scientists, All Other",27,83513.0,30.8
Lawyers,26,137200.0,0.1
Logisticians,23,101602.0,13.6
Electrical and Electronic Engineering Technologists and Technicians,22,65187.0,0.0
Regulatory Affairs Specialists,21,148545.0,45.0
Physical Therapists,18,97869.6,1.3
Quality Control Analysts,16,60008.0,14.3
Cost Estimators,16,108451.0,4.9
Human Resources Specialists,16,108215.0,9.4
Transportation Engineers,14,91520.2,6.4
"Electronics Engineers, Except Computer",13,102170.0,7.6
"Elementary School Teachers, Except Special Education",12,77033.7,17.8
Veterinarians,10,140000.0,35.7
Purchasing Managers,10,81205.0,0.0
