PARENT_EMPLOYER,certified_positions,filing_entities,applications,median_annual_wage
Amazon,5019,12,1119,147400.0
Cgi Technologies And Solutions Inc.,1613,1,45,118310.0
Federal Home Loan Mortgage Corporation,487,1,63,129314.0
"Capital One Services, Llc",289,1,289,131155.0
"Capital One, National Association",282,1,282,115939.0
"Hexaware Technologies, Inc.",161,1,161,112466.0
"Cisco Systems, Inc.",149,1,13,146000.0
Ernst & Young U.S. Llp,146,1,146,155926.0
Deloitte Consulting Llp,97,1,45,165000.0
Navy Federal Credit Union,89,1,89,150176.0
Cognizant Technology Solutions Us Corp,60,1,60,128461.0
"Micron Technology, Inc.",59,1,59,115031.0
Cgi Federal Inc.,55,1,6,126090.0
Howard Hughes Medical Institute,51,1,23,83513.0
Kforce Inc. ,50,1,5,126090.0
Deloitte & Touche Llp,45,1,21,99403.0
"Compunnel Software Group, Inc",42,1,42,126550.0
Deloitte Tax Llp,41,1,19,92800.0
"Comcast Cable Communications, Llc",41,1,41,175427.0
Meritore Technologies Llc,40,1,4,113756.0
"Wal-Mart Associates, Inc.",39,1,39,160349.0
Government Employee Insurance Company (Geico),37,1,37,180000.0
"Asurion, Llc",30,1,30,180432.0
"Granules Pharmaceuticals, Inc.",29,1,29,63690.0
Infosys Limited,25,1,9,118310.0
George Mason University,25,1,25,99000.0
Microsoft Corporation,23,1,23,170000.0
Aws Security Assurances Services Llc,21,1,3,153600.0
"Antra, Inc.",20,1,20,101500.0
Idexcel Inc,20,1,20,122150.0
"S.W.I.F.T., Inc.",19,1,19,158839.0
"Ste Idirect, Inc.",18,1,18,173839.0
Interon It Solutions Llc,18,1,18,126090.0
Rei Systems Inc.,17,1,17,163975.0
Promatrix Corp,17,1,17,112500.0
Hcl America Inc,17,1,17,128461.0
Inova Health Care Services,17,1,17,166786.0
Google Llc,16,1,16,179350.0
"Icf Incorporated, Llc",16,1,16,126648.0
Visa Technology & Operations Llc,16,1,16,151334.0
Itstac Llc,16,1,16,91582.0
Strategy Incorporated,14,1,14,125804.0
"M.C. Dean, Inc.",14,1,14,112500.0
"Nodal Exchange, Llc",13,1,13,157000.0
Tata Consultancy Services Limited,13,2,13,91125.0
"Salesforce, Inc.",13,1,13,221731.0
Appian Corporation,13,1,11,156256.0
O3 Technology Solutions Llc,13,1,13,112466.0
Moxie It Solutions Inc,13,1,13,101500.0
"22Nd Century Technologies, Inc.",12,1,12,78500.0
"T-Mobile Usa, Inc.",12,1,12,154749.0
Granules Pharmaceuticals Inc.,12,1,12,112500.0
Karsun Solutions Llc,12,1,12,105750.0
Crosscountry Consulting Llc,12,1,12,119000.0
Jacobs Engineering Group Inc.,11,1,11,93150.0
"I-Link Solutions, Inc.",11,1,11,126880.0
Cvs Shared Services Resources Llc,11,1,11,137221.0
Federal National Mortgage Association,11,1,11,150758.0
Ignyte Group Inc.,11,1,3,109000.0
Accenture Llp,11,1,11,156900.0
"Riskspan, Inc.",11,1,11,116459.0
"Dulles Engineering, Inc",11,1,11,90938.0
Costar Realty Information Inc.,10,1,10,164646.0
Vista Applied Solutions Group Inc,10,1,10,126090.0
"Nivid Infotech, Inc.",10,1,10,100714.0
Caseguard Inc.,10,1,10,104541.0
Ajace Inc,10,2,10,121014.0
"Successfactors, Inc.",10,1,10,143080.0
Populus Group Llc,10,1,10,129480.0
Nvidia Corporation,10,1,10,175427.0
"Financial Industry Regulatory Authority, Inc.",10,1,10,163092.0
"Dpr Construction, A General Partnership",10,1,10,100016.0
Apptium Technologies Llc,9,1,9,115000.0
"Icf Resources, Llc",9,1,9,102457.0
"Ofinno, Llc",9,1,9,155000.0
"Uniplus Consultants, Inc.",9,1,9,106454.0
"Oracle America, Inc.",9,1,9,150758.0
Ibm Corporation,9,1,9,169978.0
"Northstar Group, Inc",9,1,9,104083.0
Prime S4 Technologies Llc,9,2,9,175427.0
Aceintegrator Inc,9,1,9,101421.0
Guidehouse Digital Llc,8,1,8,136401.0
Htms Inc,8,1,8,91582.0
Esolutionsfirst Llc,8,1,8,128253.0
Alpha 20 Group Llc,8,1,8,126090.0
"Verisign, Inc.",8,1,8,172560.0
Ramsai Software Solutions Inc,8,2,8,126090.0
"Cvent, Inc.",8,1,8,137739.0
Usm Business Sytems Inc,8,1,8,122200.0
Wipro Limited,8,1,8,107456.0
Yahoo Holdings Inc.,8,1,8,175427.0
